REPOSITORY                                      TAG                                    IMAGE ID       CREATED         SIZE
amazoncorretto                                  20-alpine-full                         f04e9cc4bb74   30 hours ago    307MB
amazoncorretto                                  20-alpine-jdk                          f04e9cc4bb74   30 hours ago    307MB
amazoncorretto                                  20-alpine3.18                          f04e9cc4bb74   30 hours ago    307MB
amazoncorretto                                  20-alpine3.18-full                     f04e9cc4bb74   30 hours ago    307MB
amazoncorretto                                  20-alpine3.18-jdk                      f04e9cc4bb74   30 hours ago    307MB
amazoncorretto                                  20.0.2-alpine                          f04e9cc4bb74   30 hours ago    307MB
amazoncorretto                                  20.0.2-alpine3.18                      f04e9cc4bb74   30 hours ago    307MB
amazoncorretto                                  20-alpine3.17                          7c64bb54df2d   30 hours ago    307MB
amazoncorretto                                  20-alpine3.17-full                     7c64bb54df2d   30 hours ago    307MB
amazoncorretto                                  20-alpine3.17-jdk                      7c64bb54df2d   30 hours ago    307MB
amazoncorretto                                  20.0.2-alpine3.17                      7c64bb54df2d   30 hours ago    307MB
amazoncorretto                                  20-alpine3.16                          660fe11fc4e0   30 hours ago    306MB
amazoncorretto                                  20-alpine3.16-full                     660fe11fc4e0   30 hours ago    306MB
amazoncorretto                                  20-alpine3.16-jdk                      660fe11fc4e0   30 hours ago    306MB
amazoncorretto                                  20.0.2-alpine3.16                      660fe11fc4e0   30 hours ago    306MB
amazoncorretto                                  20-alpine3.15                          edf79d2a8299   30 hours ago    306MB
amazoncorretto                                  20-alpine3.15-full                     edf79d2a8299   30 hours ago    306MB
amazoncorretto                                  20-alpine3.15-jdk                      edf79d2a8299   30 hours ago    306MB
amazoncorretto                                  20.0.2-alpine3.15                      edf79d2a8299   30 hours ago    306MB
amazoncorretto                                  20                                     de11241e051e   30 hours ago    484MB
amazoncorretto                                  20-al2-full                            de11241e051e   30 hours ago    484MB
amazoncorretto                                  20-al2-generic                         de11241e051e   30 hours ago    484MB
amazoncorretto                                  20-al2-generic-jdk                     de11241e051e   30 hours ago    484MB
amazoncorretto                                  20-al2-jdk                             de11241e051e   30 hours ago    484MB
amazoncorretto                                  20.0.2                                 de11241e051e   30 hours ago    484MB
amazoncorretto                                  20.0.2-al2                             de11241e051e   30 hours ago    484MB
